fileID,f1,f2,vot,notes
bi02_kaka,779.72,1572.87,16.38,
bi02_kaka1,795.39,1548.60,22.58,
bi02_kaka2,552.71,1505.32,21.16,
bi02_keke,469.69,2204.67,21.24,
bi02_keke1,469.89,2325.28,18.77,
bi02_keke2,513.97,2237.33,8.93,
bi02_kiki,336.26,2615.12,28.92,
bi02_kiki1,347.97,2695.54,19.44,
bi02_kiki2,336.07,2567.18,22.60,
bi02_koko,617.47,994.89,29.31,
bi02_koko1,597.87,968.15,26.08,
bi02_koko2,487.90,878.53,34.36,
bi02_kuku,471.78,909.44,28.27,
bi02_kuku1,467.61,917.03,31.81,
bi02_kuku2,291.98,783.27,23.76,
bi02_paka,805.36,1633.66,0.12,
bi02_paka1,730.59,1474.21,5.72,
bi02_paka2,677.58,1623.70,7.13,
bi02_peke,497.74,2254.36,2.95,
bi02_peke1,460.34,2357.66,3.73,
bi02_peke2,486.31,2328.61,11.11,
bi02_piki,356.10,1692.68,11.17,
bi02_piki1,284.83,2658.86,4.21,
bi02_piki2,569.02,2681.01,13.14,
bi02_poko,581.67,919.15,5.90,
bi02_poko1,576.14,945.01,8.83,
bi02_poko2,567.96,1058.59,11.25,
bi02_puku,506.91,897.78,17.76,
bi02_puku1,462.41,853.59,7.71,
bi02_puku2,443.37,803.47,16.38,
bi02_taka,807.99,1554.26,6.63,
bi02_taka1,762.56,1520.42,4.83,
bi02_taka2,501.06,1441.72,14.06,
bi02_teke,533.03,2214.28,10.66,
bi02_teke1,466.44,2332.79,11.33,
bi02_teke2,393.31,1660.38,8.28,
bi02_tiki,644.35,2305.77,13.09,
bi02_tiki1,345.31,2762.82,16.46,
bi02_tiki2,419.53,1339.09,11.40,
bi02_toko,476.41,903.51,5.41,
bi02_toko1,540.21,965.67,7.41,
bi02_toko2,606.78,1001.92,11.54,
bi02_tuku,472.62,961.71,12.78,
bi02_tuku1,466.58,931.53,8.78,
bi02_tuku2,518.17,837.52,8.99,
