fileID,f1,f2,vot,notes
ne03_kaka,775.91,1800.21,20.84,
ne03_kaka1,818.55,1726.39,21.25,
ne03_kaka2,881.14,1571.41,34.62,
ne03_keke,674.70,2638.12,23.43,
ne03_keke1,566.55,1750.92,24.14,
ne03_keke2,562.01,2547.02,26.73,
ne03_kiki,519.06,2720.81,27.89,
ne03_kiki1,411.34,2017.92,70.89,
ne03_kiki2,372.84,2804.91,53.82,
ne03_koko,507.58,1070.37,44.20,
ne03_koko1,561.25,1214.90,28.57,
ne03_koko2,571.12,1092.05,31.16,
ne03_kuku,516.28,990.02,50.01,
ne03_kuku1,466.63,1071.66,49.67,
ne03_kuku2,413.75,1058.53,40.19,
ne03_paka,844.14,1789.39,9.62,
ne03_paka1,731.02,1829.99,16.49,
ne03_paka2,742.82,1920.97,8.58,
ne03_peke,549.12,1650.78,7.58,
ne03_peke1,745.67,2476.07,31.02,
ne03_peke2,609.18,2403.49,15.15,
ne03_piki,363.83,2610.95,17.85,
ne03_piki1,379.57,1962.70,32.58,
ne03_piki2,390.62,2163.12,13.17,
ne03_poko,637.88,1122.05,11.38,
ne03_poko1,588.10,1180.63,32.34,
ne03_poko2,594.49,1101.83,30.91,
ne03_puku,817.86,1299.55,23.97,
ne03_puku1,427.15,968.68,36.85,
ne03_puku2,493.28,994.00,67.14,
ne03_taka,695.02,1656.91,18.46,
ne03_taka1,855.27,1743.63,12.74,
ne03_taka2,652.67,1232.66,10.77,
ne03_teke,576.96,1520.06,34.38,
ne03_teke1,575.31,1878.64,21.41,
ne03_teke2,564.92,1675.46,22.90,
ne03_tiki,374.61,2789.09,36.71,
ne03_tiki1,376.94,1537.87,66.46,
ne03_tiki2,409.43,1766.21,19.97,
ne03_toko,613.97,1105.81,28.43,
ne03_toko1,617.84,1192.49,30.41,
ne03_toko2,531.01,1051.42,20.76,
ne03_tuku,445.65,1095.99,40.28,
ne03_tuku1,428.57,1051.23,54.92,
ne03_tuku2,476.80,1124.23,36.04,
